TICKER,OFTIC,MEASURE,VALUE,ANNDATS,ACTUAL
AMZN,AMZN,SAL,72646,2020-01-30,75452
AMZN,AMZN,SAL,71896,2020-01-30,75452
AMZN,AMZN,SAL,71874.42,2020-01-30,75452
AMZN,AMZN,SAL,71956,2020-01-30,75452
AMZN,AMZN,SAL,71736,2020-01-30,75452
AMZN,AMZN,SAL,72293,2020-01-30,75452
AMZN,AMZN,SAL,72478,2020-01-30,75452
AMZN,AMZN,SAL,72598,2020-01-30,75452
AMZN,AMZN,SAL,72335,2020-01-30,75452
AMZN,AMZN,SAL,72948,2020-01-31,75452
AMZN,AMZN,SAL,72556,2020-01-31,75452
AMZN,AMZN,SAL,71222,2020-01-31,75452
AMZN,AMZN,SAL,72899,2020-01-31,75452
AMZN,AMZN,SAL,71662,2020-01-31,75452
AMZN,AMZN,SAL,72230.458,2020-01-31,75452
AMZN,AMZN,SAL,72499,2020-01-31,75452
AMZN,AMZN,SAL,72807,2020-01-31,75452
AMZN,AMZN,SAL,71754,2020-01-31,75452
AMZN,AMZN,SAL,72201.6,2020-01-31,75452
AMZN,AMZN,SAL,71427.335,2020-01-31,75452
AMZN,AMZN,SAL,72839,2020-01-31,75452
AMZN,AMZN,SAL,72605,2020-01-31,75452
AMZN,AMZN,SAL,72370.26,2020-01-31,75452
AMZN,AMZN,SAL,72741.08,2020-01-31,75452
AMZN,AMZN,SAL,71205,2020-01-31,75452
AMZN,AMZN,SAL,73010.307,2020-01-31,75452
AMZN,AMZN,SAL,72843.3,2020-01-31,75452
AMZN,AMZN,SAL,72189,2020-01-31,75452
AMZN,AMZN,SAL,70279.324,2020-01-31,75452
AMZN,AMZN,SAL,72755,2020-01-31,75452
AMZN,AMZN,SAL,72513,2020-01-31,75452
AMZN,AMZN,SAL,72463,2020-01-31,75452
AMZN,AMZN,SAL,72011,2020-02-13,75452
AMZN,AMZN,SAL,72421.6,2020-03-03,75452
AMZN,AMZN,SAL,72406,2020-03-10,75452
AMZN,AMZN,SAL,70700,2020-03-13,75452
AMZN,AMZN,SAL,73994,2020-03-18,75452
AMZN,AMZN,SAL,73837,2020-03-20,75452
AMZN,AMZN,SAL,67683.985,2020-03-20,75452
AMZN,AMZN,SAL,75465,2020-03-26,75452
AMZN,AMZN,SAL,73404.86,2020-03-29,75452
AMZN,AMZN,SAL,74115,2020-03-30,75452
AMZN,AMZN,SAL,72444,2020-03-31,75452
AMZN,AMZN,SAL,73750,2020-04-07,75452
AMZN,AMZN,SAL,75699,2020-04-08,75452
AMZN,AMZN,SAL,72354,2020-04-13,75452
AMZN,AMZN,SAL,72854,2020-04-13,75452
AMZN,AMZN,SAL,72960.1,2020-04-15,75452
AMZN,AMZN,SAL,74840,2020-04-16,75452
AMZN,AMZN,SAL,76145,2020-04-22,75452
AMZN,AMZN,SAL,73500,2020-04-22,75452
AMZN,AMZN,SAL,73867,2020-04-23,75452
AMZN,AMZN,SAL,74135.9,2020-04-23,75452
AMZN,AMZN,SAL,73649.071,2020-04-24,75452
AMZN,AMZN,SAL,73454,2020-04-24,75452
AMZN,AMZN,SAL,78625,2020-04-26,75452
AMZN,AMZN,SAL,77850,2020-04-26,75452
AMZN,AMZN,SAL,76707,2020-04-27,75452
AMZN,AMZN,SAL,75638,2020-04-27,75452
AMZN,AMZN,SAL,74752,2020-04-27,75452
AMZN,AMZN,SAL,72711.245,2020-04-27,75452
AMZN,AMZN,SAL,73600,2020-04-27,75452
AMZN,AMZN,SAL,71753.913,2019-10-24,75452
AMZN,AMZN,SAL,71366.19,2019-10-24,75452
