TICKER,OFTIC,MEASURE,VALUE,ANNDATS,ACTUAL
AMZN,AMZN,GRM,43.3,2020-01-31,40.82
AMZN,AMZN,GRM,43.2,2020-01-31,40.82
AMZN,AMZN,GRM,44,2020-01-31,40.82
AMZN,AMZN,GRM,42.9,2020-01-31,40.82
AMZN,AMZN,GRM,42.8,2020-01-31,40.82
AMZN,AMZN,GRM,42.4,2020-01-31,40.82
AMZN,AMZN,GRM,43.2,2020-03-03,40.82
AMZN,AMZN,GRM,43.1,2020-03-10,40.82
AMZN,AMZN,GRM,45.12,2020-03-19,40.82
AMZN,AMZN,GRM,43.9,2020-03-19,40.82
AMZN,AMZN,GRM,43.2,2020-03-20,40.82
AMZN,AMZN,GRM,42,2020-03-20,40.82
AMZN,AMZN,GRM,44,2020-03-26,40.82
AMZN,AMZN,GRM,43.4,2020-03-30,40.82
AMZN,AMZN,GRM,42.8,2020-04-07,40.82
AMZN,AMZN,GRM,42.2,2020-04-08,40.82
AMZN,AMZN,GRM,43,2020-04-16,40.82
AMZN,AMZN,GRM,43.9,2020-04-16,40.82
AMZN,AMZN,GRM,43.2,2020-04-20,40.82
AMZN,AMZN,GRM,42.7,2020-04-23,40.82
AMZN,AMZN,GRM,42.7,2020-04-24,40.82
AMZN,AMZN,GRM,42.1,2020-04-24,40.82
AMZN,AMZN,GRM,42.5,2020-04-26,40.82
AMZN,AMZN,GRM,41,2020-04-26,40.82
AMZN,AMZN,GRM,40.3,2020-04-27,40.82
AMZN,AMZN,GRM,41,2020-04-27,40.82
AMZN,AMZN,GRM,41.7,2020-04-29,40.82
AMZN,AMZN,GRM,45.12,2019-10-24,40.82
AMZN,AMZN,GRM,42.8,2019-10-24,40.82
AMZN,AMZN,GRM,42.3,2019-10-24,40.82
AMZN,AMZN,GRM,43.8,2019-10-25,40.82
AMZN,AMZN,GRM,43.6,2019-10-25,40.82
AMZN,AMZN,GRM,44,2019-10-25,40.82
AMZN,AMZN,GRM,42.4,2019-10-25,40.82
AMZN,AMZN,GRM,44.6,2019-10-25,40.82
AMZN,AMZN,GRM,44.5,2019-10-25,40.82
AMZN,AMZN,GRM,43.5,2019-10-25,40.82
AMZN,AMZN,GRM,42.9,2019-10-25,40.82
AMZN,AMZN,GRM,44.2,2019-10-25,40.82
AMZN,AMZN,GRM,42.5,2019-10-25,40.82
AMZN,AMZN,GRM,42.3,2019-10-25,40.82
AMZN,AMZN,GRM,42.8,2019-10-25,40.82
AMZN,AMZN,GRM,42.2,2019-10-25,40.82
AMZN,AMZN,GRM,42.8,2019-11-26,40.82
AMZN,AMZN,GRM,43.7,2019-12-23,40.82
AMZN,AMZN,GRM,43,2020-01-07,40.82
AMZN,AMZN,GRM,42,2020-01-09,40.82
AMZN,AMZN,GRM,43.3,2020-01-13,40.82
AMZN,AMZN,GRM,43.2,2020-01-14,40.82
AMZN,AMZN,GRM,42.7,2020-01-23,40.82
AMZN,AMZN,GRM,43,2020-01-23,40.82
AMZN,AMZN,GRM,45.2,2020-01-26,40.82
AMZN,AMZN,GRM,42.9,2020-01-28,40.82
AMZN,AMZN,GRM,44,2020-01-29,40.82
AMZN,AMZN,GRM,43.3,2019-09-02,40.82
AMZN,AMZN,GRM,43.6,2019-09-05,40.82
AMZN,AMZN,GRM,45,2019-10-08,40.82
AMZN,AMZN,GRM,43.4,2019-10-22,40.82
AMZN,AMZN,GRM,40,2020-07-30,40.6
AMZN,AMZN,GRM,39.1,2020-07-30,40.6
AMZN,AMZN,GRM,40.5,2020-07-30,40.6
AMZN,AMZN,GRM,41.1,2020-07-30,40.6
AMZN,AMZN,GRM,40,2020-07-31,40.6
AMZN,AMZN,GRM,40.2,2020-07-31,40.6
AMZN,AMZN,GRM,38.7,2020-07-31,40.6
AMZN,AMZN,GRM,41.6,2020-07-31,40.6
AMZN,AMZN,GRM,41,2020-07-31,40.6
AMZN,AMZN,GRM,38.9,2020-07-31,40.6
AMZN,AMZN,GRM,40.2,2020-07-31,40.6
AMZN,AMZN,GRM,40.3,2020-07-31,40.6
AMZN,AMZN,GRM,39.9,2020-07-31,40.6
AMZN,AMZN,GRM,40,2020-07-31,40.6
AMZN,AMZN,GRM,40.5,2020-07-31,40.6
AMZN,AMZN,GRM,44,2020-07-31,40.6
AMZN,AMZN,GRM,41.7,2020-07-31,40.6
AMZN,AMZN,GRM,39.3,2020-07-31,40.6
AMZN,AMZN,GRM,40,2020-08-06,40.6
AMZN,AMZN,GRM,40.7,2020-09-18,40.6
AMZN,AMZN,GRM,41,2020-09-21,40.6
AMZN,AMZN,GRM,40.3,2020-09-24,40.6
AMZN,AMZN,GRM,38.9,2020-10-22,40.6
AMZN,AMZN,GRM,40.4,2020-10-23,40.6
AMZN,AMZN,GRM,40.2,2020-10-25,40.6
AMZN,AMZN,GRM,40.6,2020-10-26,40.6
AMZN,AMZN,GRM,41,2020-10-26,40.6
AMZN,AMZN,GRM,40.3,2020-10-27,40.6
AMZN,AMZN,GRM,39.5,2020-04-30,40.6
AMZN,AMZN,GRM,41,2020-04-30,40.6
AMZN,AMZN,GRM,40.5,2020-04-30,40.6
AMZN,AMZN,GRM,39.7,2020-04-30,40.6
AMZN,AMZN,GRM,41.8,2020-05-01,40.6
